"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,29825.923240,6500.853227,"ns/op",10000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,52306.679817,8412.055242,"ns/op",20000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,78338.242881,20655.002273,"ns/op",30000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,100412.479656,4597.227842,"ns/op",40000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,131372.840320,13139.594214,"ns/op",50000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,175008.184840,43631.124370,"ns/op",70000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,202418.606199,7545.239645,"ns/op",80000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,225680.111738,23316.426748,"ns/op",90000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,253149.046807,60085.736641,"ns/op",100000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,4006.101130,644.804505,"ns/op",10000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,7939.402306,1335.889083,"ns/op",20000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,12004.665004,1426.049114,"ns/op",30000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,17134.296977,2098.264273,"ns/op",40000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,24591.177132,12617.721587,"ns/op",50000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,30782.841483,1592.044622,"ns/op",70000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,37740.636486,6565.773387,"ns/op",80000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,39022.635548,1523.493784,"ns/op",90000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,43876.533967,3380.006646,"ns/op",100000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,4040.885886,509.808395,"ns/op",10000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,7906.317010,2033.433597,"ns/op",20000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,11905.045204,495.805239,"ns/op",30000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,17401.416656,929.153735,"ns/op",40000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,23902.128039,12600.705377,"ns/op",50000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,29969.656688,918.435923,"ns/op",70000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,36038.284876,249.087889,"ns/op",80000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,38668.104849,423.955583,"ns/op",90000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,42825.814799,337.848145,"ns/op",100000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,3867220.225131,38583.929879,"ns/op",10000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,15914714.085801,1907575.979647,"ns/op",20000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,35190407.489655,401906.630101,"ns/op",30000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,65540478.650000,959232.062689,"ns/op",40000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,106954728.320000,532919.119762,"ns/op",50000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,217341598.400000,1236806.492667,"ns/op",70000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,285845762.400000,1909299.193952,"ns/op",80000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,364118838.933333,3012497.115048,"ns/op",90000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,451075455.533333,3676729.443220,"ns/op",100000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,443.464377,10.334072,"ns/op",10000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,948.673050,779.345498,"ns/op",20000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,1093.065814,87.240012,"ns/op",30000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,2411.566249,4831.253336,"ns/op",40000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,1892.066278,247.136758,"ns/op",50000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,2542.014222,127.088521,"ns/op",70000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,3468.048605,528.522631,"ns/op",80000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,3271.714729,467.495444,"ns/op",90000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,4422.269704,368.010058,"ns/op",100000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,8644.312430,8301.898594,"ns/op",10000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,16892.039570,18554.730909,"ns/op",20000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,18739.541121,181.196884,"ns/op",30000
