Benchmark;Size;Score (ns/op)
"customAdd";10000;26866.282060934034
"customAdd";20000;49492.84642438608
"customAdd";30000;72363.96154238176
"customAdd";40000;96759.34857622211
"customAdd";50000;124599.08653088912
"customAdd";70000;165515.4321124227
"customAdd";80000;194603.4088949608
"customAdd";90000;216054.2730391359
"customAdd";100000;236852.62406030972
"customAddAll";10000;3960.684930023799
"customAddAll";20000;7374.3563837602105
"customAddAll";30000;11617.466245432868
"customAddAll";40000;16947.03533019145
"customAddAll";50000;22553.606519537578
"customAddAll";70000;29648.15956613598
"customAddAll";80000;36061.231382405655
"customAddAll";90000;39094.9712007724
"customAddAll";100000;42389.12858595427
"customAddAllIndex";10000;3971.0215914431815
"customAddAllIndex";20000;7738.2208547278715
"customAddAllIndex";30000;11830.268731096367
"customAddAllIndex";40000;16858.476187247627
"customAddAllIndex";50000;22319.171813190733
"customAddAllIndex";70000;29933.69454611868
"customAddAllIndex";80000;37037.02725668818
"customAddAllIndex";90000;39312.738585990504
"customAddAllIndex";100000;42151.473394486726
"customAddIndex";10000;3900850.9316177196
"customAddIndex";20000;1.5592533226778846E7
"customAddIndex";30000;3.5297149724137925E7
"customAddIndex";40000;6.5860515675E7
"customAddIndex";50000;1.0870288817555556E8
"customAddIndex";70000;2.1803298008E8
"customAddIndex";80000;2.8812503755E8
"customAddIndex";90000;3.6620719173333335E8
"customAddIndex";100000;4.535631668E8
"customCapacityConstructor";10000;450.83447021927316
"customCapacityConstructor";20000;752.8393707832303
"customCapacityConstructor";30000;1103.8846859121775
"customCapacityConstructor";40000;1400.2821166110798
"customCapacityConstructor";50000;1838.72700755248
"customCapacityConstructor";70000;3455.5203777193324
"customCapacityConstructor";80000;3404.2666495497265
"customCapacityConstructor";90000;4164.558805149567
"customCapacityConstructor";100000;4446.253505531871
"customClear";10000;8673.592703723423
"customClear";20000;16571.175477029952
"customClear";30000;18489.85252160772
"customClear";40000;26287.042853164916
"customClear";50000;33234.029069804325
"customClear";70000;46007.515440296775
"customClear";80000;54614.11957036768
"customClear";90000;59396.81765912053
"customClear";100000;65875.48908972226
"customCollectionConstructor";10000;3952.996136659645
"customCollectionConstructor";20000;7788.354681335366
"customCollectionConstructor";30000;11383.29969848575
"customCollectionConstructor";40000;16619.59132383205
"customCollectionConstructor";50000;21163.766966082352
"customCollectionConstructor";70000;28775.9993463694
"customCollectionConstructor";80000;35252.32678162989
"customCollectionConstructor";90000;37605.41960637308
"customCollectionConstructor";100000;41685.88379753346
"customContains";10000;2.3350802607142854E7
"customContains";20000;2.340164279069767E7
"customContains";30000;2.3392863720930234E7
"customContains";40000;2.3384083939534884E7
"customContains";50000;2.347557907906977E7
"customContains";70000;2.436858197166667E7
"customContains";80000;2.33346988E7
"customContains";90000;2.4585226928705443E7
"customContains";100000;2.414373294134727E7
"customContainsAll";10000;14281.594004081906
"customContainsAll";20000;17616.204928390573
"customContainsAll";30000;21782.805510443934
"customContainsAll";40000;26637.28766936478
"customContainsAll";50000;31241.413641989326
"customContainsAll";70000;39473.562274315205
"customContainsAll";80000;44736.906075570856
"customContainsAll";90000;47737.82301073434
"customContainsAll";100000;51828.97703624323
"customDefaultConstructor";10000;20.637550422573103
"customDefaultConstructor";20000;24.27241070816191
"customDefaultConstructor";30000;25.07284706580851
"customDefaultConstructor";40000;26.277467246695494
"customDefaultConstructor";50000;25.12015166015642
"customDefaultConstructor";70000;27.979765029303092
"customDefaultConstructor";80000;29.48635076557226
"customDefaultConstructor";90000;30.244171628251472
"customDefaultConstructor";100000;31.127521323358774
"customEquals";10000;12208.430840237837
"customEquals";20000;24292.509903066977
"customEquals";30000;36308.36410431079
"customEquals";40000;50825.693027986
"customEquals";50000;62014.397923700955
"customEquals";70000;87978.24095910789
"customEquals";80000;100398.8174936494
"customEquals";90000;112010.27313364677
"customEquals";100000;123737.07146771645
"customGet";10000;5149.266725605041
"customGet";20000;9839.06976307862
"customGet";30000;14427.596306626245
"customGet";40000;20483.401440520476
"customGet";50000;26318.864224315104
"customGet";70000;35956.73025928919
"customGet";80000;46326.0015083757
"customGet";90000;46874.54736402413
"customGet";100000;51401.31879294424
"customHashCode";10000;13342.488036555442
"customHashCode";20000;26109.224466007996
"customHashCode";30000;39166.29049880265
"customHashCode";40000;52627.03707649559
"customHashCode";50000;66799.49834257104
"customHashCode";70000;92511.68443286205
"customHashCode";80000;107001.20526666101
"customHashCode";90000;118164.41303185392
"customHashCode";100000;132363.897239068
"customIndexOf";10000;2.4457996214053426E7
"customIndexOf";20000;2.489805241231707E7
"customIndexOf";30000;2.477630019512195E7
"customIndexOf";40000;2.48434744897561E7
"customIndexOf";50000;2.4863841243902437E7
"customIndexOf";70000;2.4975534138170727E7
"customIndexOf";80000;2.4710673785365857E7
"customIndexOf";90000;2.5171091665E7
"customIndexOf";100000;2.4863364582439024E7
"customIsEmpty";10000;3901.5237507148004
"customIsEmpty";20000;7821.205901622304
"customIsEmpty";30000;11420.591995005105
"customIsEmpty";40000;16679.61513381848
"customIsEmpty";50000;20934.478735265217
"customIsEmpty";70000;28335.261916471623
"customIsEmpty";80000;34707.78022315837
"customIsEmpty";90000;37147.45498474744
"customIsEmpty";100000;41555.90599682265
"customIteratorNext";10000;7888.319542051216
"customIteratorNext";20000;14079.5870880634
"customIteratorNext";30000;20823.765674021608
"customIteratorNext";40000;28816.56092947534
"customIteratorNext";50000;37717.9117364363
"customIteratorNext";70000;50966.866685919565
"customIteratorNext";80000;59797.81532999103
"customIteratorNext";90000;65538.3160217701
"customIteratorNext";100000;72711.81475071263
"customLastIndexOf";10000;2.4560266796167247E7
"customLastIndexOf";20000;7.058853382666667E7
"customLastIndexOf";30000;1.1589999073333335E8
"customLastIndexOf";40000;1.6210777022857141E8
"customLastIndexOf";50000;2.0828161172000003E8
"customLastIndexOf";70000;3.1777230195E8
"customLastIndexOf";80000;3.6581799456666666E8
"customLastIndexOf";90000;4.0352737773333335E8
"customLastIndexOf";100000;4.498615610666667E8
"customListIteratorAdd";10000;34622.373506923424
"customListIteratorAdd";20000;64396.94701902968
"customListIteratorAdd";30000;95562.1171646756
"customListIteratorAdd";40000;127513.59418043264
"customListIteratorAdd";50000;165261.59168802688
"customListIteratorAdd";70000;217735.44839746697
"customListIteratorAdd";80000;255984.08717264986
"customListIteratorAdd";90000;283261.167546549
"customListIteratorAdd";100000;311929.0607975107
"customListIteratorRemove";10000;3906452.4693351714
"customListIteratorRemove";20000;1.5545512897163462E7
"customListIteratorRemove";30000;3.504334857241379E7
"customListIteratorRemove";40000;6.49428603875E7
"customListIteratorRemove";50000;1.0616760578E8
"customListIteratorRemove";70000;2.15787385E8
"customListIteratorRemove";80000;2.8546300425E8
"customListIteratorRemove";90000;3.616567805333333E8
"customListIteratorRemove";100000;4.495432360666667E8
"customListIteratorSet";10000;19056.208107167255
"customListIteratorSet";20000;37686.30508445263
"customListIteratorSet";30000;56061.1718678644
"customListIteratorSet";40000;76381.17502916662
"customListIteratorSet";50000;96020.44357655368
"customListIteratorSet";70000;133140.49527989916
"customListIteratorSet";80000;154380.8812119321
"customListIteratorSet";90000;172622.7516187794
"customListIteratorSet";100000;190924.04293180228
"customRemoveAll";10000;72359.41158679391
"customRemoveAll";20000;151523.0315336867
"customRemoveAll";30000;211024.97243670118
"customRemoveAll";40000;305547.93243263714
"customRemoveAll";50000;356946.1072693436
"customRemoveAll";70000;535568.1250204267
"customRemoveAll";80000;576951.2126197228
"customRemoveAll";90000;670757.8209460818
"customRemoveAll";100000;774137.7389376101
"customRemoveIndex";10000;22785.946260790042
"customRemoveIndex";20000;57983.915726537234
"customRemoveIndex";30000;89612.07710427807
"customRemoveIndex";40000;126747.5228778993
"customRemoveIndex";50000;153457.78489666976
"customRemoveIndex";70000;222134.7997981846
"customRemoveIndex";80000;254428.2747843514
"customRemoveIndex";90000;283250.3737296399
"customRemoveIndex";100000;310582.1381736693
"customRemoveObject";10000;3935372.7631196454
"customRemoveObject";20000;1.5580167038413461E7
"customRemoveObject";30000;3.523333966896552E7
"customRemoveObject";40000;6.560476295E7
"customRemoveObject";50000;1.0703942902000001E8
"customRemoveObject";70000;2.1664647E8
"customRemoveObject";80000;2.861661335E8
"customRemoveObject";90000;3.621261223333333E8
"customRemoveObject";100000;4.50683122E8
"customRetainAll";10000;77988.11990233713
"customRetainAll";20000;154368.80315964497
"customRetainAll";30000;234536.7383033881
"customRetainAll";40000;307776.22099976806
"customRetainAll";50000;403908.6210321839
"customRetainAll";70000;540161.079940586
"customRetainAll";80000;632311.6284465918
"customRetainAll";90000;651516.1526419682
"customRetainAll";100000;718178.0554421896
"customSet";10000;21895.812708777106
"customSet";20000;42087.81739732031
"customSet";30000;57685.27207219511
"customSet";40000;79930.79427305928
"customSet";50000;105263.3947972792
"customSet";70000;152386.52137094171
"customSet";80000;153887.4302251573
"customSet";90000;169864.33706138557
"customSet";100000;192633.55590898645
"customSize";10000;3905.149262035303
"customSize";20000;7522.203218603734
"customSize";30000;11399.829723601963
"customSize";40000;16979.697580405813
"customSize";50000;30800.644885652386
"customSize";70000;52448.57026102113
"customSize";80000;64904.7367534795
"customSize";90000;64907.03745532352
"customSize";100000;56645.78535296461
"customSubList";10000;4901.4999338792
"customSubList";20000;8777.784557199475
"customSubList";30000;12744.636249094412
"customSubList";40000;18528.619844008048
"customSubList";50000;23061.897999483626
"customSubList";70000;30714.851452155046
"customSubList";80000;36623.491042371235
"customSubList";90000;39227.25244951759
"customSubList";100000;42671.05187360709
"customToArray";10000;5697.993801998545
"customToArray";20000;10619.075646808826
"customToArray";30000;16154.087661197296
"customToArray";40000;24077.600977674272
"customToArray";50000;28324.24124024405
"customToArray";70000;41636.613746271454
"customToArray";80000;48970.50535899306
"customToArray";90000;52758.4585064721
