"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,26866.282061,425.745475,"ns/op",10000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,49492.846424,3221.848894,"ns/op",20000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,72363.961542,2556.082068,"ns/op",30000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,96759.348576,1059.644734,"ns/op",40000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,124599.086531,3010.942348,"ns/op",50000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,165515.432112,8936.157101,"ns/op",70000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,194603.408895,1515.607925,"ns/op",80000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,216054.273039,2923.235771,"ns/op",90000
"customlist.CustomListPerformanceTest.customAdd","avgt",1,5,236852.624060,9398.126103,"ns/op",100000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,3960.684930,479.732854,"ns/op",10000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,7374.356384,486.302853,"ns/op",20000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,11617.466245,2163.969528,"ns/op",30000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,16947.035330,435.638220,"ns/op",40000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,22553.606520,12898.288222,"ns/op",50000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,29648.159566,597.262286,"ns/op",70000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,36061.231382,5548.177218,"ns/op",80000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,39094.971201,3506.777984,"ns/op",90000
"customlist.CustomListPerformanceTest.customAddAll","avgt",1,5,42389.128586,10309.284012,"ns/op",100000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,3971.021591,533.232365,"ns/op",10000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,7738.220855,1376.919140,"ns/op",20000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,11830.268731,335.814767,"ns/op",30000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,16858.476187,216.660184,"ns/op",40000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,22319.171813,11807.894892,"ns/op",50000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,29933.694546,357.990703,"ns/op",70000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,37037.027257,1014.791993,"ns/op",80000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,39312.738586,3459.087568,"ns/op",90000
"customlist.CustomListPerformanceTest.customAddAllIndex","avgt",1,5,42151.473394,5489.863978,"ns/op",100000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,3900850.931618,33441.130565,"ns/op",10000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,15592533.226779,159928.018955,"ns/op",20000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,35297149.724138,448297.432960,"ns/op",30000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,65860515.675000,874454.132175,"ns/op",40000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,108702888.175556,8146636.022297,"ns/op",50000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,218032980.080000,3635086.905262,"ns/op",70000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,288125037.550000,1790656.249015,"ns/op",80000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,366207191.733333,2326426.072944,"ns/op",90000
"customlist.CustomListPerformanceTest.customAddIndex","avgt",1,5,453563166.800000,2620364.075377,"ns/op",100000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,450.834470,21.706925,"ns/op",10000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,752.839371,69.246735,"ns/op",20000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,1103.884686,134.605689,"ns/op",30000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,1400.282117,103.586986,"ns/op",40000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,1838.727008,246.220105,"ns/op",50000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,3455.520378,1956.461899,"ns/op",70000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,3404.266650,457.471305,"ns/op",80000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,4164.558805,602.673087,"ns/op",90000
"customlist.CustomListPerformanceTest.customCapacityConstructor","avgt",1,5,4446.253506,622.548164,"ns/op",100000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,8673.592704,8817.661731,"ns/op",10000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,16571.175477,18352.547143,"ns/op",20000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,18489.852522,813.047100,"ns/op",30000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,26287.042853,463.990877,"ns/op",40000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,33234.029070,8795.960899,"ns/op",50000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,46007.515440,1613.843636,"ns/op",70000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,54614.119570,4407.994940,"ns/op",80000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,59396.817659,748.763260,"ns/op",90000
"customlist.CustomListPerformanceTest.customClear","avgt",1,5,65875.489090,1392.460489,"ns/op",100000
"customlist.CustomListPerformanceTest.customCollectionConstructor","avgt",1,5,3952.996137,453.725400,"ns/op",10000
"customlist.CustomListPerformanceTest.customCollectionConstructor","avgt",1,5,7788.354681,633.164082,"ns/op",20000
"customlist.CustomListPerformanceTest.customCollectionConstructor","avgt",1,5,11383.299698,138.524106,"ns/op",30000
"customlist.CustomListPerformanceTest.customCollectionConstructor","avgt",1,5,16619.591324,2689.700195,"ns/op",40000
"customlist.CustomListPerformanceTest.customCollectionConstructor","avgt",1,5,21163.766966,8409.893373,"ns/op",50000
"customlist.CustomListPerformanceTest.customCollectionConstructor","avgt",1,5,28775.999346,491.626032,"ns/op",70000
"customlist.CustomListPerformanceTest.customCollectionConstructor","avgt",1,5,35252.326782,1837.311307,"ns/op",80000
"customlist.CustomListPerformanceTest.customCollectionConstructor","avgt",1,5,37605.419606,385.455837,"ns/op",90000
"customlist.CustomListPerformanceTest.customCollectionConstructor","avgt",1,5,41685.883798,115.445509,"ns/op",100000
"customlist.CustomListPerformanceTest.customContains","avgt",1,5,23350802.607143,1640157.552380,"ns/op",10000
"customlist.CustomListPerformanceTest.customContains","avgt",1,5,23401642.790698,183065.062392,"ns/op",20000
"customlist.CustomListPerformanceTest.customContains","avgt",1,5,23392863.720930,311155.774445,"ns/op",30000
"customlist.CustomListPerformanceTest.customContains","avgt",1,5,23384083.939535,208679.560835,"ns/op",40000
"customlist.CustomListPerformanceTest.customContains","avgt",1,5,23475579.079070,350604.318843,"ns/op",50000
"customlist.CustomListPerformanceTest.customContains","avgt",1,5,24368581.971667,1750429.454192,"ns/op",70000
"customlist.CustomListPerformanceTest.customContains","avgt",1,5,23334698.800000,131152.776338,"ns/op",80000
"customlist.CustomListPerformanceTest.customContains","avgt",1,5,24585226.928705,1961967.113309,"ns/op",90000
"customlist.CustomListPerformanceTest.customContains","avgt",1,5,24143732.941347,270768.955376,"ns/op",100000
"customlist.CustomListPerformanceTest.customContainsAll","avgt",1,5,14281.594004,500.179202,"ns/op",10000
"customlist.CustomListPerformanceTest.customContainsAll","avgt",1,5,17616.204928,325.192293,"ns/op",20000
"customlist.CustomListPerformanceTest.customContainsAll","avgt",1,5,21782.805510,240.008173,"ns/op",30000
"customlist.CustomListPerformanceTest.customContainsAll","avgt",1,5,26637.287669,444.388619,"ns/op",40000
"customlist.CustomListPerformanceTest.customContainsAll","avgt",1,5,31241.413642,229.466109,"ns/op",50000
"customlist.CustomListPerformanceTest.customContainsAll","avgt",1,5,39473.562274,2665.824275,"ns/op",70000
"customlist.CustomListPerformanceTest.customContainsAll","avgt",1,5,44736.906076,1716.757433,"ns/op",80000
"customlist.CustomListPerformanceTest.customContainsAll","avgt",1,5,47737.823011,794.063144,"ns/op",90000
"customlist.CustomListPerformanceTest.customContainsAll","avgt",1,5,51828.977036,1027.175293,"ns/op",100000
"customlist.CustomListPerformanceTest.customDefaultConstructor","avgt",1,5,20.637550,8.471167,"ns/op",10000
"customlist.CustomListPerformanceTest.customDefaultConstructor","avgt",1,5,24.272411,2.873539,"ns/op",20000
"customlist.CustomListPerformanceTest.customDefaultConstructor","avgt",1,5,25.072847,1.771250,"ns/op",30000
"customlist.CustomListPerformanceTest.customDefaultConstructor","avgt",1,5,26.277467,5.100863,"ns/op",40000
"customlist.CustomListPerformanceTest.customDefaultConstructor","avgt",1,5,25.120152,2.117071,"ns/op",50000
"customlist.CustomListPerformanceTest.customDefaultConstructor","avgt",1,5,27.979765,6.518428,"ns/op",70000
"customlist.CustomListPerformanceTest.customDefaultConstructor","avgt",1,5,29.486351,5.196183,"ns/op",80000
