"Size";"add(T)";"add(int, T)";"addAll(Collection<T>)";"addAll(int, Collection<T>)";"clear()";"contains(T)";"containsAll(List<T>)";"get(int)";"indexOf(Object)";"isEmpty()";"iterator().next()";"listIterator().add(T)";"listIterator().set(T)";"listIterator().remove()";"lastIndexOf(Object)";"remove(int)";"remove(T)";"removeAll(Collection<T>)";"retainAll(Collection<T>)";"set(int, T)";"size()";"subList(int, int)";"toArray()";"equals(Object)";"hashCode()";"toString()"
5000;79666;1416550;4649;3783;11550;4671650;249467;37999;4984975;291;78674;77275;105983;1094333;5005908;47358;1074408;237483;157158;128408;58;1166;2216;142825;91874;269558
10000;122850;4057333;7108;5816;14650;22600533;251291;66216;25246575;8600;126358;217466;333375;4291108;22436158;134816;4332141;363983;244941;294958;50;2591;3958;212541;139500;408116
15000;138658;9145650;20066;21858;28350;22206616;260091;244150;24668791;7891;422733;328500;448891;9267041;47847683;187883;9319033;173125;227900;112125;8;2449;7608;89875;52516;424575
20000;189325;16067675;19783;15516;31391;22179641;251524;48191;29624974;13275;33116;135916;69299;15991608;104969275;215933;16290750;133233;154975;133400;41;8850;12900;22866;23666;395458
25000;104125;24347250;14742;13249;35324;22791075;243791;18841;32242008;1516;58341;185650;110141;24345358;168015500;74533;24564025;139700;103883;134916;16;1791;7350;30975;22583;704058
30000;82208;35535333;14399;13183;42000;21962041;247967;19033;31827291;608;68749;230366;130924;35201533;204699558;83550;35815591;152824;108950;144158;16;3774;6916;31191;27433;514666
35000;186233;48914916;24233;22616;51500;22660275;259442;24316;32835516;700;85383;264616;156766;48911100;243900183;114825;48871166;216808;155508;211608;50;2441;16550;34816;34275;652333
40000;115650;66345450;19858;18824;58941;23286908;249633;31575;32640616;583;94600;258841;176849;65454783;295774258;111283;65329016;192641;118933;173133;8;2158;8000;42849;36491;926199
45000;149800;86333575;24141;23116;63016;22246466;251708;28441;32197850;900;103783;287608;200550;85046350;330819516;127775;92089275;222541;152908;210533;8;2666;8541;54008;43966;748125
50000;129908;107712141;24375;23483;71900;22814274;246775;37975;32810658;1550;117050;288758;223225;106981291;390783324;140175;108413583;273700;147241;225841;24;3625;9733;54083;46858;815700
