"Size";"add(T)";"add(int, T)";"addAll(Collection<T>)";"addAll(int, Collection<T>)";"clear()";"contains(T)";"containsAll(List<T>)";"get(int)";"indexOf(Object)";"isEmpty()";"iterator().next()";"listIterator().add(T)";"listIterator().set(T)";"listIterator().remove()";"lastIndexOf(Object)";"remove(int)";"remove(T)";"removeAll(Collection<T>)";"retainAll(Collection<T>)";"set(int, T)";"size()";"subList(int, int)";"toArray()";"equals(Object)";"hashCode()";"toString()"
5000;61733;1042691;4625;4225;5167;4846849;252525;61241;4968016;233;77033;74633;98016;1077808;4882083;46225;1085766;235100;226533;95433;74;1033;2066;136791;92875;266133
10000;112983;4066300;8633;9075;8816;21559925;251341;136741;22118916;4941;152825;149358;192666;4135066;22788716;110399;4206400;352591;303600;232575;1008;3591;4258;187491;129016;392875
15000;159183;9236917;17333;14908;12933;24655108;253941;58425;28409925;7725;21174;241266;316916;9330666;53267083;291458;9696858;167608;207749;207841;75;4616;9075;56716;27916;400516
20000;180500;16025116;20583;20116;15991;25903008;264149;44549;29202250;9375;67725;185616;109008;16210508;113807466;139241;16451458;155241;139841;120508;116;9491;13983;7333;50933;399125
25000;137216;24781908;18000;20466;19408;30399992;250199;58108;31663116;5183;57483;175608;105391;24468591;155469866;97925;24759483;153316;147841;135483;24;7558;12749;7916;24766;683491
30000;131108;35200150;15083;16116;21091;29409749;240750;69208;30829408;241;69058;252808;132083;35211892;186394091;118658;35323016;175083;163833;208466;8;1792;9350;7483;28791;538566
35000;149766;48773758;23908;24233;25900;30331575;243041;80058;31619583;275;80308;281591;150499;48291591;221787833;143583;48295825;211399;196166;218158;0;1816;10283;7966;31608;701258
40000;126591;65707825;18800;18458;28074;30106866;243549;91491;31504575;316;92183;249999;169249;64969649;269435883;361866;65563549;188700;179991;177591;16;2166;5791;9166;36208;739550
45000;152416;86261341;23192;22100;32833;30506849;256508;102458;32043574;466;103533;360991;193566;85089416;296908341;178416;85471066;235525;210350;218383;33;2991;8725;10991;41550;737575
50000;129008;107595891;19683;21475;34974;30516558;254349;116066;31848366;683;118841;294541;219883;106774116;336997383;187808;107468033;231566;217291;219716;33;2925;7675;11491;45316;727016
